# Time(days) Flux(e/s)
3315.200809 1.011377
3315.203123 1.027926
3315.205438 1.040255
3315.207753 1.054951
3315.210068 1.065812
3315.212383 1.069637
3315.214697 1.085052
3315.217012 1.092619
3315.219327 1.101025
3315.221642 1.102625
3315.223957 1.114128
3315.226272 1.118943
3315.228586 1.121074
3315.230901 1.121673
3315.233216 1.127008
3315.235531 1.138196
3315.237846 1.141354
3315.240160 1.132633
3315.242475 1.133281
3315.244790 1.130611
3315.247105 1.129568
3315.249420 1.132707
3315.251734 1.125798
3315.254049 1.117172
3315.256364 1.106281
3315.258679 1.095332
3315.260994 1.095797
3315.263308 1.087756
3315.265623 1.079620
3315.267938 1.072271
3315.270253 1.059825
3315.272568 1.052424
3315.274882 1.043853
3315.277197 1.031999
3315.279512 1.018072
3315.281827 1.004330
3315.284142 0.992786
3315.286456 0.980459
3315.288771 0.954533
3315.291086 0.943223
3315.293401 0.919119
3315.295716 0.903800
3315.298030 0.876468
3315.300345 0.848115
3315.302660 0.829709
3315.304975 0.803129
3315.307290 0.799600
3315.309604 0.799562
3315.311919 0.793660
3315.314234 0.794155
3315.316549 0.787342
3315.318864 0.794056
3315.321178 0.785992
3315.323493 0.790792
3315.325808 0.795773
3315.328123 0.786737
3315.330438 0.782472
3315.332752 0.786570
3315.335067 0.787581
3315.337382 0.792072
3315.339697 0.781813
3315.342012 0.786405
3315.344327 0.795205
3315.346641 0.813901
3315.348956 0.845500
3315.351271 0.862656
3315.353586 0.883761
3315.355901 0.908376
3315.358215 0.929645
3315.360530 0.950485
3315.362845 0.968439
3315.365160 0.986098
3315.367475 1.004549
3315.369789 1.015955
3315.372104 1.026764
3315.374419 1.049849
3315.376734 1.054449
3315.379049 1.068381
3315.381363 1.078392
3315.383678 1.086914
3315.385993 1.093725
3315.388308 1.108340
3315.390623 1.116462
3315.392937 1.121607
3315.395252 1.122293
3315.397567 1.138418
3315.399882 1.150639
3315.402197 1.139913
3315.404511 1.152900
3315.406826 1.154788
3315.409141 1.150574
3315.411456 1.161918
3315.413771 1.156585
3315.416085 1.155465
3315.418400 1.155841
3315.420715 1.148376
3315.423030 1.147934
3315.425345 1.149757
3315.427659 1.141100
3315.429974 1.133035
3315.432289 1.124995
3315.434604 1.112177
3315.436919 1.096228
3315.439234 1.091067
3315.441548 1.085036
3315.443863 1.069856
3315.446178 1.060850
3315.448493 1.041801
3315.450808 1.030918
3315.453122 1.011514
3315.455437 0.996694
3315.457752 0.989380
3315.460067 0.968556
3315.462382 0.939078
3315.464696 0.923733
3315.467011 0.901082
3315.469326 0.876837
3315.471641 0.861244
3315.473956 0.837429
3315.476270 0.814725
3315.478585 0.808806
3315.480900 0.800314
3315.483215 0.792946
3315.485530 0.786716
3315.487844 0.796478
3315.490159 0.790227
3315.492474 0.788105
3315.494789 0.788475
3315.497104 0.786661
